ID,Label
209114,4.350807
197180,5.709623
206498,4.073411
202586,4.9657006
205152,5.1636252
223401,4.844335
206797,4.967094
243108,5.6895094
198758,14.816662
199778,10.11276
210305,8.12731
213162,7.6870255
217018,7.7426434
231837,8.210614
241437,10.174947
243068,8.24288
245144,10.444837
207711,8.069748
212833,14.492154
215813,15.423503
233043,8.033876
237661,14.5118265
239960,7.2476587
226352,10.302698
236226,13.6633835
237126,10.301322
240708,10.448925
244100,10.308152
252345,14.082442
206413,5.9925327
229648,7.5642433
202771,6.6236286
203770,6.5782743
198033,4.8605022
214816,5.1772366
246827,5.2132864
247571,4.520098
198264,10.999163
200125,10.835244
201828,12.140867
206790,18.548801
210306,21.229254
213273,19.15928
217192,18.862267
221027,19.149513
230054,20.924072
230159,14.35569
230485,8.32926
230952,19.539206
197971,32.88495
203776,17.40699
212958,20.70038
213665,20.624638
214094,17.838184
229773,18.328508
234330,18.607258
240996,32.707027
210498,24.12308
229128,25.79911
231635,24.420889
248572,25.678473
197119,10.92935
197256,10.998245
197916,14.07672
199691,8.616456
200157,7.754638
204185,6.8895726
208424,8.633313
209538,7.037775
220636,10.022058
222336,14.889156
225169,7.737783
225759,13.196596
237812,6.908301
239469,8.973028
246533,13.124721
248863,9.027714
252697,15.010876
225188,9.505964
230266,18.73476
247355,18.774391
247813,10.348607
198217,16.071106
202488,8.462826
214508,8.914306
217874,12.902679
227804,8.926673
232205,5.731819
232497,8.759902
233004,8.473957
234905,13.053087
242285,5.809442
242474,13.782027
243570,13.822726
244180,12.921448
244801,9.893199
245587,16.095036
247175,7.587837
249208,13.091089
252410,9.928166
207148,9.606788
241032,9.660585
196855,13.558756
197867,22.999256
198458,14.614679
198593,15.324104
199027,12.354856
199580,11.730412
200234,14.528341
200319,12.924384
200744,10.662297
201280,13.950559
202214,18.178022
202265,14.079894
202274,27.150974
202367,13.615113
202566,18.171936
203268,21.126394
204533,8.574067
204701,11.6942005
205010,12.713956
205073,12.707348
205080,18.574932
205345,12.750021
207052,21.072096
208112,14.568958
208528,13.530528
209499,12.689627
209854,16.542654
209965,7.5613513
210293,19.266815
210300,22.945074
210709,26.226904
210761,14.109317
210962,14.929554
211287,11.559802
212674,17.779552
212680,12.460573
214152,11.412954
214230,13.8977165
216129,19.074753
216354,16.728302
216671,16.202118
217181,22.901447
218289,12.395473
219689,14.130338
219845,13.741892
221306,15.381389
222643,10.913863
222703,14.528341
222976,14.929554
223407,13.741892
223625,27.150644
224664,17.637926
224694,13.738039
224945,27.217619
225205,34.2203
225480,13.8977165
225997,18.200455
226510,8.720954
227605,13.837152
228351,14.718079
228468,12.578143
228535,12.778948
228589,20.831476
230606,12.207214
230616,12.201548
230638,11.826752
231314,14.929554
232075,15.077888
232210,34.35977
233061,15.302024
233809,21.175308
234017,12.909227
234626,12.809189
234892,12.416873
234920,17.281092
235083,13.775286
235301,19.894262
236050,19.074753
236144,17.981758
236375,16.935217
236714,33.956745
236928,12.088427
236967,12.773067
237223,12.099707
239051,12.493362
240072,12.162404
240191,17.997765
240628,15.077888
240779,13.414996
241071,13.855736
244487,18.801043
244674,11.9335985
245562,13.595507
245563,27.004992
245616,13.190698
245623,20.887568
246420,12.106315
247103,14.27655
249187,14.568958
250234,18.228027
250569,17.738935
251113,18.801043
251272,19.266815
251879,13.634287
252074,12.629963
196575,17.809326
198360,23.599598
198423,18.629375
198632,11.576956
198714,17.410069
199322,11.505805
199828,11.381791
200272,14.668701
200691,19.529009
201307,14.360202
202481,14.739558
203325,20.138248
203405,17.689243
203740,20.523994
204368,13.876079
204961,17.578785
206058,16.153246
207063,10.828182
207437,21.550398
207965,12.700036
208040,14.0384035
209017,14.625953
209158,19.490673
209351,14.253088
210826,15.324925
210862,23.543507
215705,12.063867
215903,12.299254
216192,19.042374
216600,20.046555
217290,14.052749
219260,22.71536
221814,11.737561
222163,11.913558
223555,34.913692
225417,21.39831
225855,14.682042
226268,10.203602
226720,12.016743
228250,15.72592
228398,21.309736
228404,16.023367
228865,15.820627
230285,12.121576
230305,23.449406
231160,16.639511
231976,25.725378
232093,15.733546
232554,19.769297
233154,13.776763
234088,14.203088
234115,17.294088
234793,13.048324
235107,14.425894
235302,13.833005
235376,10.10945
236507,14.960943
236617,13.153643
237263,16.198938
237360,34.644753
237904,25.49194
238118,15.576677
238151,15.525508
239142,34.739826
239430,23.66359
240154,13.224593
240220,11.379076
240303,17.91966
241199,16.643341
241657,18.43959
242681,10.941337
244580,12.715834
244769,14.279381
244869,21.671932
246280,14.005974
247489,14.404908
248133,19.150202
248469,22.641296
248889,19.066292
249461,25.76566
249888,14.666139
250417,18.792385
251142,14.05068
251181,21.597979
251283,12.046581
252529,11.453586
197495,16.230885
199270,12.575875
199746,17.061861
201106,17.075592
204551,11.185802
205228,21.65652
208012,13.608205
208213,13.783545
209485,12.829899
210241,9.559091
210952,20.539799
211633,15.415629
212102,9.878346
212103,10.691005
212339,6.1871343
212913,10.259068
213340,14.063483
213555,15.934787
214778,10.616575
215346,20.458435
216295,9.001793
216536,15.23233
217873,11.160343
217997,20.423574
218228,6.1092787
221339,15.118297
221973,12.430863
222447,11.140974
223624,6.149109
226471,12.683819
226562,10.571064
227474,13.146859
228074,11.241474
229434,15.840502
229977,11.735146
230226,11.732352
232900,9.388644
233257,12.41298
233822,12.394252
233970,12.619716
235361,12.349568
235486,11.385236
236667,13.635969
238234,12.576713
238537,9.580852
239526,11.97851
240412,11.848818
242168,12.425452
242338,12.624316
242899,10.06224
243592,13.448246
245310,12.505447
250940,15.500051
251236,11.195041
252258,6.229496
235087,7.33227
236717,8.30311
208312,7.530146
210992,6.8869915
216584,7.5302577
217928,5.6040874
218417,5.4724984
221649,8.747283
226569,8.747397
227763,7.1376815
230987,7.137793
242941,5.7386656
205651,11.258682
208656,8.878624
224864,5.5622897
226920,8.905558
245476,5.5241294
196595,7.0435786
202164,5.110332
213032,7.115197
222886,6.172635
226459,7.3337603
231759,7.0705314
234360,7.096357
234664,6.2732725
239106,7.5885825
243151,7.562756
243895,6.899436
249440,6.35354
200579,6.2866077
204663,6.2387757
214734,6.3314962
221777,5.599732
222984,6.2015743
